title,year,providers,source
The Hidden Fortress (kakushi-toride No San-akunin),1958.0,"Amazon Video, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
The Hunchback of Notre Dame,,"Amazon Video, Disney Plus, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Inherit the Wind,1960.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, MGM Plus, Fandango At Home",TMDb
Invasion of the Body Snatchers,1956.0,"MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
The Invisible Man,1933.0,"IndieFlix Shorts Amazon Channel, Google Play Movies, Apple TV, Spectrum On Demand, IndieFlix, YouTube, Fandango At Home",TMDb
Johnny Belinda,1948.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
King Kong,1933.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
The King of Comedy,1983.0,"Amazon Video, Fandango At Home, Apple TV",TMDb
The Lady Vanishes,1938.0,"Amazon Video, IndieFlix Shorts Amazon Channel, HBO Max, Apple TV, IndieFlix, Philo, Fandor, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
The Ladykillers,1955.0,,None
Laura,1944.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Lilies of the Field,1963.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video",TMDb
The Lion in Winter,1968.0,"Amazon Video, BFI Player Amazon Channel, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Long Day's Journey Into Night,1962.0,"Amazon Video, Fandango At Home, Apple TV",TMDb
M,1931.0,"Amazon Video, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
The Magic Flute (Trollflöjten),1975.0,,None
The Magnificent Ambersons,1942.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
The Magnificent Seven,1960.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Plex, Google Play Movies, Apple TV, IndieFlix, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
The Maltese Falcon,1941.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
The Manchurian Candidate,1962.0,"Amazon Video, Amazon Prime Video with Ads, Apple TV, Fandango At Home, Amazon Prime Video",TMDb
Marty,1955.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, TCM, YouTube, Fandango At Home",TMDb
Metropolis,1927.0,"Amazon Video, Kino Film Collection, FlixFling, Google Play Movies, Apple TV, YouTube, Eternal Family, Fandango At Home, fuboTV",TMDb
The Miracle Worker,1962.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Google Play Movies, Apple TV, Spectrum On Demand, ScreenPix Apple TV Channel, YouTube, Philo, MGM Plus, ScreenPix Amazon Channel , fuboTV, Fandango At Home",TMDb
The Music Man,1962.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
My Man Godfrey,1936.0,"FilmBox Live Amazon Channel, Shout! Factory Amazon Channel, IndieFlix Shorts Amazon Channel, Amazon Video, YouTube TV, FlixFling, Pure Flix, Amazon Prime Video with Ads, Dove Amazon Channel, Google Play Movies, Apple TV, IndieFlix, YouTube, Fandango At Home, Amazon Prime Video, Great American Pure Flix Amazon Channel",TMDb
A Night at the Opera,1935.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Night of the Living Dead,1968.0,"MGM+ Amazon Channel, Google Play Movies, Peacock Premium Plus, Philo, MGM Plus, Fandango At Home, Starz Apple TV Channel, Peacock Premium, Night Flight Plus, Criterion Channel, Amazon Video, YouTube TV, Screambox Amazon Channel, HBO Max, Apple TV, Starz Amazon Channel, Shudder Amazon Channel, FlixFling, Midnight Pulp Amazon Channel, Shudder Apple TV Channel, YouTube, Starz, AMC+ Amazon Channel, fuboTV, HBO Max Amazon Channel, Cultpix, Screambox",TMDb
A Night to Remember,1958.0,"Amazon Video, Criterion Channel, Apple TV, Fandango At Home",TMDb
The Odd Couple,1968.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Odd Man Out,1947.0,"Amazon Video, HBO Max, Philo, Criterion Channel, HBO Max Amazon Channel",TMDb
Planet of the Apes,1968.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, IndieFlix, YouTube, Fandango At Home",TMDb
The Producers,1968.0,"Amazon Video, BFI Player Amazon Channel, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
A Raisin in the Sun,1961.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Rear Window,1954.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
The Red Shoes,1948.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
Sabrina,1954.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Sahara,1943.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Scarface,1932.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
The Sea Hawk,1940.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Shadow of a Doubt,1943.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Shall We Dance,1937.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
A Shot in the Dark,1964.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Google Play Movies, Apple TV, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
Spartacus,1960.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Stagecoach,1939.0,"Amazon Video, Amazon Prime Video with Ads, HBO Max, Dove Amazon Channel, Fandor Amazon Channel, Apple TV, Fandango At Home, Philo, Criterion Channel, Amazon Prime Video, HBO Max Amazon Channel, fuboTV",TMDb
The Sting,1973.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
A Streetcar Named Desire,1951.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Swing Time,1936.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
The Ten Commandments,1956.0,"Amazon Video, Plex, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
The Thing,1982.0,"Amazon Video, Google Play Movies, Apple TV, Peacock Premium Plus, Spectrum On Demand, YouTube, Fandango At Home, Peacock Premium",TMDb
Touch of Evil,1958.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Twelve O'Clock High,1949.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Unfaithfully Yours,1948.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
The Warriors,1979.0,"Amazon Video, Plex, Google Play Movies, Apple TV, AMC+ Amazon Channel, YouTube, Philo, Fandango At Home, AMC Plus Apple TV Channel ",TMDb
Winchester '73,1950.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home, Starz Apple TV Channel",TMDb
The Women,1939.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Wuthering Heights,1939.0,"Amazon Video, Amazon Prime Video, Apple TV, Amazon Prime Video with Ads",TMDb
Mystery Train,1989.0,"Amazon Video, Criterion Channel, Apple TV, Fandango At Home",TMDb
Henry V,1989.0,,None
Faust,1926.0,"Amazon Video, Kino Film Collection, Apple TV",TMDb
The Long Goodbye,1973.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Apple TV, Philo, MGM Plus, Criterion Channel, fuboTV, Fandango At Home",TMDb
GoodFellas,1990.0,"Amazon Video, YouTube TV, HBO Max, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home, HBO Max Amazon Channel",TMDb
After Hours,1985.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Awakenings,1990.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Diabolique (Les Diaboliques),1955.0,"Amazon Video, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
Fury,1936.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Come and See (Idi i smotri),1985.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Criterion Channel, Fandango At Home",TMDb
The Commitments,1991.0,"Shout! Factory Amazon Channel, Amazon Video, Google Play Movies, Apple TV, Peacock Premium Plus, YouTube, Fandango At Home, Peacock Premium",TMDb
The Man in the Moon,1991.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Plex, Google Play Movies, Apple TV, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
The Train,1965.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Google Play Movies, Apple TV, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
The Last of the Mohicans,1992.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video",TMDb
Husbands and Wives,1992.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Unforgiven,1992.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Malcolm X,1992.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Scent of a Woman,1992.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Brother's Keeper,1992.0,"Amazon Video, IFC Films Unlimited Apple TV Channel, AMC+, Apple TV, AMC+ Amazon Channel, Sundance Now, Philo",TMDb
Stalker,1979.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
The Browning Version,1951.0,"Amazon Video, Criterion Channel, Apple TV, Fandango At Home",TMDb
Strictly Ballroom,1992.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home, fuboTV",TMDb
Much Ado About Nothing,1993.0,"Amazon Video, Plex, Kanopy, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
High Noon,1952.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
The Fugitive,1993.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Sherman's March,1986.0,,None
The Circus,1928.0,"Amazon Video, The Surf Network Amazon Channel, FlixFling, Amazon Prime Video with Ads, HBO Max, Apple TV, Criterion Channel, Amazon Prime Video, HBO Max Amazon Channel, Fandango At Home",TMDb
The Kid,1921.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, YouTube TV, FlixFling, Pure Flix, HBO Max, Apple TV, Philo, MGM Plus, Criterion Channel, fuboTV, HBO Max Amazon Channel, Great American Pure Flix Amazon Channel, Fandango At Home",TMDb
Three Colors: Red (Trois couleurs: Rouge),1994.0,"Amazon Video, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
The Wild Bunch,1969.0,"Amazon Video, YouTube TV, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
A Little Princess,1995.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Smoke,1995.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Richard III,1995.0,"MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
Heat,1995.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video",TMDb
Dead Man Walking,1995.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Philo, Fandango At Home",TMDb
Hamlet,1996.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Iron Monkey,2001.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Shall We Dance? (Shall We Dansu?),1996.0,,None
12 Angry Men,1997.0,"Amazon Video, Amazon Prime Video, Apple TV, Amazon Prime Video with Ads",TMDb
The Killers,1946.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
Requiem for a Heavyweight,1962.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Imitation of Life,1934.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Of Mice and Men,1939.0,"Criterion Channel, HBO Max, HBO Max Amazon Channel",TMDb
Buena Vista Social Club,1999.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
Underground,1995.0,"Amazon Video, Kino Film Collection, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Fireworks (Hana-bi),1997.0,"YouTube, Google Play Movies",TMDb
The Celebration (Festen),1998.0,Criterion Channel,TMDb
High Fidelity,2000.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Traffic,2000.0,"Netflix, Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, Netflix Standard with Ads, YouTube, Fandango At Home, Starz Apple TV Channel",TMDb
Ace in the Hole (The Big Carnival),1951.0,"Amazon Video, IndieFlix Shorts Amazon Channel, FlixFling, Google Play Movies, Apple TV, IndieFlix, YouTube, Fandango At Home",TMDb
The Road Home (Wo de fu qin mu qin),2001.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Conspiracy,2001.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Fandango At Home, HBO Max Amazon Channel",TMDb
Adaptation,2002.0,"Amazon Video, Google Play Movies, Apple TV, Paramount+ Amazon Channel, YouTube, Paramount+ Roku Premium Channel, Fandango At Home, Paramount Plus",TMDb
Devdas,2002.0,"Amazon Video, Eros Now Select Apple TV Channel, Google Play Movies, Apple TV, YouTube",TMDb
Lightning in a Bottle,2004.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Nightmare Alley,1947.0,,None
No Direction Home: Bob Dylan,2005.0,"Amazon Video, Qello Concerts by Stingray Amazon Channel, Apple TV",TMDb
Pride and Prejudice,2005.0,"Amazon Video, Cinemax Apple TV Channel, MGM+ Amazon Channel, HBO Max, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV, HBO Max Amazon Channel, Cinemax Amazon Channel",TMDb
The Devil and Daniel Johnston,2006.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Unconscious,2006.0,"Amazon Video, Amazon Prime Video, Amazon Prime Video with Ads",TMDb
Ghosts of Abu Ghraib,2007.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Fandango At Home, HBO Max Amazon Channel",TMDb
Longford,,,None
Fantastic Mr. Fox,2009.0,"Amazon Video, Disney Plus, Hulu, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Dear Zachary: A Letter to a Son About His Father,2008.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, Apple TV, YouTube, Fandango At Home, Amazon Prime Video",TMDb
The Cove,2009.0,"Amazon Video, Fandor Amazon Channel, DocuramaFilms Amazon Channel, Apple TV, Google Play Movies, YouTube, Philo, Fandor, Fandango At Home",TMDb
Mary and Max,2009.0,"Amazon Video, Hulu, AMC+, Google Play Movies, Apple TV, AMC+ Amazon Channel, YouTube, Philo, Fandango At Home",TMDb
The Friends of Eddie Coyle,1973.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
"C'est Pas Moi, Je le Jure! (It's Not Me, I Swear!)",2008.0,,None
A Prophet (Un prophete),2010.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
The Way We Get By,2009.0,"YouTube, Google Play Movies, Apple TV",TMDb
Passing Strange,2009.0,,None
Ice People,2008.0,,None
127 Hours,2010.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Twelve Monkeys (12 Monkeys),1995.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
12 Years a Slave,2013.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
13 Assassins,2011.0,"Amazon Video, Magnolia Selects Amazon Channel, Warriors and Gangsters Amazon Channel, FlixFling, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Philo, Fandango At Home, fuboTV",TMDb
1917,2020.0,"Netflix, Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, Netflix Standard with Ads, YouTube, Fandango At Home",TMDb
2001: A Space Odyssey,1968.0,"Amazon Video, Cinemax Apple TV Channel, HBO Max, Google Play Movies, Apple TV, Spectrum On Demand, TCM, YouTube, Fandango At Home, HBO Max Amazon Channel, Cinemax Amazon Channel",TMDb
24 Hour Party People,2002.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Google Play Movies, Apple TV, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
28 Days Later,2003.0,"Netflix, Amazon Video, Philo, AMC+, AMC, Google Play Movies, Apple TV, Netflix Standard with Ads, YouTube, AMC+ Amazon Channel, AMC+ Roku Premium Channel, AMC Plus Apple TV Channel , Fandango At Home",TMDb
3:10 to Yuma,2007.0,"Amazon Video, Plex, Google Play Movies, Apple TV, Peacock Premium Plus, YouTube, Fandango At Home, Peacock Premium",TMDb
37 Seconds,,"Netflix, Netflix Standard with Ads",TMDb
Three Idiots,2009.0,"Amazon Video, YouTube, Google Play Movies, Apple TV",TMDb
3-Iron,2004.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
3 Women,1977.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Criterion Channel, Fandango At Home",TMDb
The 400 Blows (Les Quatre cents coups),1959.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
4 Little Girls,1997.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Fandango At Home, HBO Max Amazon Channel",TMDb
"4 Months, 3 Weeks and 2 Days",2007.0,"Philo, AMC+ Amazon Channel",TMDb
50/50,2011.0,"Amazon Video, Google Play Movies, Apple TV, Starz Amazon Channel, Starz Roku Premium Channel, YouTube, Starz, Philo, Fandango At Home, Starz Apple TV Channel",TMDb
51 Birch Street,2006.0,"Amazon Video, Apple TV",TMDb
5 Broken Cameras,2012.0,"Kino Film Collection, OVID, Fandango At Home, Chai Flicks",TMDb
5B,2019.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
61*,2001.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Fandango At Home, HBO Max Amazon Channel",TMDb
8 1/2,1963.0,"Amazon Video, HBO Max, Google Play Movies, Apple TV, YouTube, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
A Bittersweet Life (Dalkomhan insaeng),2005.0,,None
A Band Called Death,2013.0,,None
A Brighter Summer Day,2011.0,,None
A Man Called Ove (En man som heter Ove),2016.0,"Amazon Video, OVID, Amazon Prime Video with Ads, Google Play Movies, Apple TV, Flix Premiere, Fandango At Home, YouTube, Viaplay Amazon Channel, Amazon Prime Video, fuboTV",TMDb
A Man Escaped (Un condamné à mort s'est échappé ou Le vent souffle où il veut),1957.0,"Amazon Video, Criterion Channel, Apple TV, Fandango At Home",TMDb
A Patch of Blue,1965.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
A Room With a View,1985.0,"Amazon Video, Britbox Apple TV Channel , HBO Max, Google Play Movies, Apple TV, YouTube, Criterion Channel, HBO Max Amazon Channel, Fandango At Home",TMDb
A Secret Love,,,None
A Separation,2011.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
A Simple Life,2012.0,,None
A Sun,,,None
A Very Sordid Wedding,2017.0,"Amazon Video, Revry Amazon Channel, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Abbott and Costello Meet Frankenstein,1948.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Accattone (The Procurer) (The Scrounger),1961.0,,None
Adam Sandler: 100% Fresh,,"Netflix, Netflix Standard with Ads",TMDb
"The Adventures of Priscilla, Queen of the Desert",1994.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Plex, Google Play Movies, Apple TV, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
After the Thin Man,1936.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Efter brylluppet (After the Wedding),2006.0,"Amazon Video, Philo, IFC Films Unlimited Apple TV Channel, AMC+ Amazon Channel",TMDb
After Tiller,2013.0,"Amazon Video, OVID, Fandor Amazon Channel, Apple TV, Google Play Movies, YouTube, Philo, Fandor, Fandango At Home",TMDb
Aftershocks (Tangshan dadizhen),2010.0,,None
