title,url,release_date,critic_score,audience_score,average_rating,release_date_clean,release_date_parsed
Rita Moreno: Just a Girl Who Decided to Go For It,https://www.rottentomatoes.com/m/rita_moreno_just_a_girl_who_decided_to_go_for_it,"Released Jun 18, 2021",96.0,93.0,94.5,"Jun 18, 2021",2021-06-18
The Sparks Brothers,https://www.rottentomatoes.com/m/the_sparks_brothers,"Released Jun 18, 2021",95.0,98.0,96.5,"Jun 18, 2021",2021-06-18
Truman & Tennessee: An Intimate Conversation,https://www.rottentomatoes.com/m/truman_and_tennessee_an_intimate_conversation,"Released Jun 18, 2021",91.0,100.0,95.5,"Jun 18, 2021",2021-06-18
A Crime on the Bayou,https://www.rottentomatoes.com/m/a_crime_on_the_bayou,"Released Jun 18, 2021",100.0,88.0,94.0,"Jun 18, 2021",2021-06-18
I Carry You With Me,https://www.rottentomatoes.com/m/i_carry_you_with_me,"Released Jun 25, 2021",97.0,84.0,90.5,"Jun 25, 2021",2021-06-25
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",https://www.rottentomatoes.com/m/summer_of_soul,"Released Jul 2, 2021",99.0,98.0,98.5,"Jul 2, 2021",2021-07-02
Roadrunner: A Film About Anthony Bourdain,https://www.rottentomatoes.com/m/roadrunner_a_film_about_anthony_bourdain,"Released Jul 16, 2021",91.0,94.0,92.5,"Jul 16, 2021",2021-07-16
Val,https://www.rottentomatoes.com/m/val,"Released Jul 23, 2021",93.0,88.0,90.5,"Jul 23, 2021",2021-07-23
Ailey,https://www.rottentomatoes.com/m/ailey,"Released Jul 23, 2021",90.0,88.0,89.0,"Jul 23, 2021",2021-07-23
The Suicide Squad,https://www.rottentomatoes.com/m/the_suicide_squad,"Released Aug 6, 2021",90.0,82.0,86.0,"Aug 6, 2021",2021-08-06
Homeroom,https://www.rottentomatoes.com/m/homeroom,2021,85.0,,85.0,2021,2021-01-01
Free Guy,https://www.rottentomatoes.com/m/free_guy,"Released Aug 13, 2021",80.0,94.0,87.0,"Aug 13, 2021",2021-08-13
Not Going Quietly,https://www.rottentomatoes.com/m/not_going_quietly,"Released Aug 13, 2021",100.0,91.0,95.5,"Aug 13, 2021",2021-08-13
