title,url,release_date,critic_score,audience_score
"The Godfather, Part II",https://www.rottentomatoes.com/m/godfather_part_ii,"Released Dec 12, 1974",96.0,97.0
Blazing Saddles,https://www.rottentomatoes.com/m/blazing_saddles,In Theaters Sun Sep 15,89.0,91.0
The Conversation,https://www.rottentomatoes.com/m/the_conversation,"Released Apr 7, 1974",97.0,89.0
The Conversation,https://www.rottentomatoes.com/m/conversation,"Released Apr 7, 1974",97.0,89.0
Alice in the Cities,https://www.rottentomatoes.com/m/alice_in_the_cities,"Released Apr 28, 1977",100.0,91.0
That's Entertainment!,https://www.rottentomatoes.com/m/thats_entertainment,"Released May 23, 1974",100.0,86.0
Chinatown,https://www.rottentomatoes.com/m/chinatown,"Released Jun 20, 1974",98.0,93.0
The Take,https://www.rottentomatoes.com/m/the_take,"Released Sep 3, 2004",90.0,91.0
The Taking of Pelham One Two Three,https://www.rottentomatoes.com/m/the_taking_of_pelham_one_two_three,"Released Oct 2, 1974",98.0,88.0
The Taking of Pelham One Two Three,https://www.rottentomatoes.com/m/taking_of_pelham_one_two_three,"Released Oct 2, 1974",98.0,88.0
Female Trouble,https://www.rottentomatoes.com/m/female_trouble,"Released Oct 4, 1975",90.0,85.0
Lenny,https://www.rottentomatoes.com/m/lenny,"Released Aug 15, 1975",87.0,88.0
The Phantom of Liberty,https://www.rottentomatoes.com/m/phantom_of_liberty,"Released Sep 11, 1974",85.0,91.0
F for Fake,https://www.rottentomatoes.com/m/f_for_fake,"Released Jan 30, 1976",88.0,88.0
Young Frankenstein,https://www.rottentomatoes.com/m/young_frankenstein,"Released Dec 15, 1974",95.0,92.0
"The Godfather, Part II",https://www.rottentomatoes.com/m/godfather_part_ii,"Released Dec 12, 1974",96.0,97.0
Hearts and Minds,https://www.rottentomatoes.com/m/hearts_and_minds,"Released Nov 17, 1975",91.0,90.0
Jaws,https://www.rottentomatoes.com/m/jaws,"Released Jun 20, 1975",97.0,90.0
One Flew Over the Cuckoo's Nest,https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest,"Released Nov 19, 1975",93.0,96.0
Dog Day Afternoon,https://www.rottentomatoes.com/m/dog_day_afternoon,"Released Sep 21, 1975",96.0,90.0
Monty Python and the Holy Grail,https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail,"Released Apr 1, 1975",96.0,95.0
Love and Death,https://www.rottentomatoes.com/m/love_and_death,"Released Jun 10, 1975",100.0,90.0
Jaws,https://www.rottentomatoes.com/m/jaws,"Released Jun 20, 1975",97.0,90.0
Cooley High,https://www.rottentomatoes.com/m/cooley_high,"Released Jan 1, 1975",89.0,89.0
Dog Day Afternoon,https://www.rottentomatoes.com/m/dog_day_afternoon,"Released Sep 21, 1975",96.0,90.0
One Flew Over the Cuckoo's Nest,https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest,"Released Nov 19, 1975",93.0,96.0
Barry Lyndon,https://www.rottentomatoes.com/m/barry_lyndon,"Released Dec 18, 1975",87.0,92.0
The Man Who Would Be King,https://www.rottentomatoes.com/m/man_who_would_be_king,"Released Dec 17, 1975",97.0,90.0
All the President's Men,https://www.rottentomatoes.com/m/all_the_presidents_men,"Released Jan 1, 1976",94.0,92.0
Taxi Driver,https://www.rottentomatoes.com/m/taxi_driver,"Released Feb 8, 1976",89.0,93.0
Grey Gardens,https://www.rottentomatoes.com/m/grey_gardens,"Released Sep 27, 1975",94.0,85.0
All the President's Men,https://www.rottentomatoes.com/m/all_the_presidents_men,"Released Jan 1, 1976",94.0,92.0
The Outlaw Josey Wales,https://www.rottentomatoes.com/m/the_outlaw_josey_wales,"Released Jun 30, 1976",91.0,91.0
The Outlaw Josey Wales,https://www.rottentomatoes.com/m/outlaw_josey_wales,"Released Jun 30, 1976",91.0,91.0
"Harlan County, U.S.A.",https://www.rottentomatoes.com/m/harlan_county_usa,Now Playing,100.0,92.0
Up,https://www.rottentomatoes.com/m/up,"Released May 29, 2009",98.0,90.0
Network,https://www.rottentomatoes.com/m/network,"Released Nov 27, 1976",91.0,93.0
Star Wars: Episode IV - A New Hope,https://www.rottentomatoes.com/m/star_wars,"Released May 25, 1977",93.0,96.0
Close Encounters of the Third Kind,https://www.rottentomatoes.com/m/close_encounters_of_the_third_kind,"Released Nov 16, 1977",90.0,85.0
Annie Hall,https://www.rottentomatoes.com/m/annie_hall,"Released Jan 1, 1977",97.0,92.0
Slap Shot,https://www.rottentomatoes.com/m/slap_shot,"Released Feb 25, 1977",85.0,88.0
The Many Adventures of Winnie the Pooh,https://www.rottentomatoes.com/m/many_adventures_of_winnie_the_pooh,1977,100.0,87.0
Annie Hall,https://www.rottentomatoes.com/m/annie_hall,"Released Jan 1, 1977",97.0,92.0
3 Women,https://www.rottentomatoes.com/m/3_women,"Released Apr 10, 1977",85.0,86.0
Star Wars: Episode IV - A New Hope,https://www.rottentomatoes.com/m/star_wars,"Released May 25, 1977",93.0,96.0
Stroszek,https://www.rottentomatoes.com/m/stroszek,"Released Jan 12, 1977",96.0,92.0
That Obscure Object of Desire,https://www.rottentomatoes.com/m/that_obscure_object_of_desire,"Released Oct 8, 1977",97.0,90.0
Soldier of Orange,https://www.rottentomatoes.com/m/soldier_of_orange,"Released Aug 16, 1979",91.0,87.0
Madame Rosa,https://www.rottentomatoes.com/m/madame_rosa,"Released Mar 19, 1978",89.0,93.0
