title,url,release_date,critic_score,audience_score
Dances With Wolves,https://www.rottentomatoes.com/m/dances_with_wolves,"Released Nov 21, 1990",87.0,87.0
The Hunt for Red October,https://www.rottentomatoes.com/m/hunt_for_red_october,"Released Feb 2, 1990",88.0,88.0
Cinema Paradiso,https://www.rottentomatoes.com/m/cinema_paradiso,"Released Feb 23, 1988",91.0,96.0
The Hunt for Red October,https://www.rottentomatoes.com/m/hunt_for_red_october,"Released Feb 2, 1990",88.0,88.0
"The Cook, the Thief, His Wife and Her Lover",https://www.rottentomatoes.com/m/the_cook_the_thief_his_wife_and_her_lover,"Released Apr 6, 1990",86.0,88.0
"The Cook, the Thief, His Wife and Her Lover",https://www.rottentomatoes.com/m/cook_the_thief_his_wife_and_her_lover,"Released Apr 6, 1990",86.0,88.0
Goodfellas,https://www.rottentomatoes.com/m/goodfellas,"Released Sep 19, 1990",95.0,97.0
Miller's Crossing,https://www.rottentomatoes.com/m/millers_crossing,"Released Sep 21, 1990",93.0,90.0
Night of the Living Dead,https://www.rottentomatoes.com/m/night_of_the_living_dead,"Released Oct 1, 1968",95.0,87.0
Dances With Wolves,https://www.rottentomatoes.com/m/dances_with_wolves,"Released Nov 21, 1990",87.0,87.0
Misery,https://www.rottentomatoes.com/m/misery,"Released Nov 30, 1990",91.0,90.0
Edward Scissorhands,https://www.rottentomatoes.com/m/edward_scissorhands,"Released Dec 7, 1990",90.0,91.0
Hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100.0,91.0
Terminator 2: Judgment Day,https://www.rottentomatoes.com/m/terminator_2_judgment_day,"Released Jul 3, 1991",91.0,95.0
The Silence of the Lambs,https://www.rottentomatoes.com/m/the_silence_of_the_lambs,"Released Feb 13, 1991",95.0,95.0
The Silence of the Lambs,https://www.rottentomatoes.com/m/silence_of_the_lambs,"Released Feb 13, 1991",95.0,95.0
The Silence of the Lambs,https://www.rottentomatoes.com/m/the_silence_of_the_lambs,"Released Feb 13, 1991",95.0,95.0
The Silence of the Lambs,https://www.rottentomatoes.com/m/silence_of_the_lambs,"Released Feb 13, 1991",95.0,95.0
Citizen Kane,https://www.rottentomatoes.com/m/citizen_kane,"Released May 1, 1941",99.0,90.0
Terminator 2: Judgment Day,https://www.rottentomatoes.com/m/terminator_2_judgment_day,"Released Jul 3, 1991",91.0,95.0
Boyz N the Hood,https://www.rottentomatoes.com/m/boyz_n_the_hood,"Released Jul 12, 1991",96.0,93.0
A Brighter Summer Day,https://www.rottentomatoes.com/m/a_brighter_summer_day,1991,100.0,94.0
Barton Fink,https://www.rottentomatoes.com/m/barton_fink,"Released Aug 1, 1991",90.0,89.0
The Fisher King,https://www.rottentomatoes.com/m/fisher_king,"Released Sep 20, 1991",85.0,85.0
Life Is Sweet,https://www.rottentomatoes.com/m/life_is_sweet,1991,93.0,87.0
The Double Life of Veronique,https://www.rottentomatoes.com/m/double_life_of_veronique,"Released Nov 24, 1991",85.0,92.0
Hearts of Darkness: A Filmmaker's Apocalypse,https://www.rottentomatoes.com/m/hearts_of_darkness_a_filmmakers_apocalypse,"Released Nov 27, 1991",100.0,94.0
Until the End of the World,https://www.rottentomatoes.com/m/until_the_end_of_the_world,"Released Jan 3, 1991",89.0,89.0
My Cousin Vinny,https://www.rottentomatoes.com/m/my_cousin_vinny,"Released Mar 13, 1992",87.0,87.0
Raise the Red Lantern,https://www.rottentomatoes.com/m/raise_the_red_lantern,"Released Sep 10, 1991",97.0,94.0
Delicatessen,https://www.rottentomatoes.com/m/delicatessen,"Released Apr 17, 1991",90.0,91.0
Monster in a Box,https://www.rottentomatoes.com/m/monster_in_a_box,1991,93.0,88.0
The Hairdresser's Husband,https://www.rottentomatoes.com/m/hairdressers_husband,"Released Oct 3, 1990",92.0,86.0
Blade Runner,https://www.rottentomatoes.com/m/blade_runner,"Released Jun 25, 1982",89.0,91.0
Glengarry Glen Ross,https://www.rottentomatoes.com/m/glengarry_glen_ross,"Released Sep 16, 1992",95.0,88.0
Hero,https://www.rottentomatoes.com/m/hero,"Released Aug 27, 2004",94.0,87.0
Reservoir Dogs,https://www.rottentomatoes.com/m/reservoir_dogs,"Released Oct 23, 1992",90.0,94.0
Jurassic Park,https://www.rottentomatoes.com/m/jurassic_park,"Released Jun 11, 1993",92.0,91.0
Schindler's List,https://www.rottentomatoes.com/m/schindlers_list,"Released Dec 15, 1993",98.0,97.0
The Vanishing,https://www.rottentomatoes.com/m/the_vanishing,"Released Oct 10, 1990",96.0,88.0
Dead Alive,https://www.rottentomatoes.com/m/dead_alive,"Released Feb 12, 1993",89.0,87.0
Groundhog Day,https://www.rottentomatoes.com/m/groundhog_day,"Released Feb 12, 1993",94.0,88.0
My Neighbor Totoro,https://www.rottentomatoes.com/m/my_neighbor_totoro,In Theaters Sat Dec 7,93.0,94.0
The Music of Chance,https://www.rottentomatoes.com/m/the_music_of_chance,1993,100.0,87.0
The Music of Chance,https://www.rottentomatoes.com/m/music_of_chance,1993,100.0,87.0
Nothing But a Man,https://www.rottentomatoes.com/m/nothing_but_a_man,1964,98.0,88.0
Jurassic Park,https://www.rottentomatoes.com/m/jurassic_park,"Released Jun 11, 1993",92.0,91.0
What's Love Got to Do With It,https://www.rottentomatoes.com/m/whats_love_got_to_do_with_it,"Released Jun 9, 1993",97.0,88.0
The Wedding Banquet,https://www.rottentomatoes.com/m/wedding_banquet,"Released Aug 1, 1993",97.0,87.0
Searching for Bobby Fischer,https://www.rottentomatoes.com/m/searching_for_bobby_fischer,"Released Aug 11, 1993",100.0,86.0
The Joy Luck Club,https://www.rottentomatoes.com/m/joy_luck_club,"Released Sep 8, 1993",86.0,89.0
True Romance,https://www.rottentomatoes.com/m/true_romance,"Released Sep 10, 1993",93.0,93.0
And the Band Played On,https://www.rottentomatoes.com/m/and_the_band_played_on,1993,100.0,88.0
Dazed and Confused,https://www.rottentomatoes.com/m/dazed_and_confused,"Released Sep 10, 1993",93.0,90.0
Short Cuts,https://www.rottentomatoes.com/m/short_cuts,Now Playing,95.0,88.0
The Nightmare Before Christmas,https://www.rottentomatoes.com/m/nightmare_before_christmas,"Released Oct 29, 1993",95.0,92.0
The Remains of the Day,https://www.rottentomatoes.com/m/remains_of_the_day,"Released Nov 5, 1993",96.0,90.0
The Piano,https://www.rottentomatoes.com/m/piano,Now Playing,90.0,86.0
The Snapper,https://www.rottentomatoes.com/m/the_snapper,"Released Aug 6, 1993",97.0,86.0
The Snapper,https://www.rottentomatoes.com/m/snapper,"Released Aug 6, 1993",97.0,86.0
Schindler's List,https://www.rottentomatoes.com/m/schindlers_list,"Released Dec 15, 1993",98.0,97.0
What's Eating Gilbert Grape,https://www.rottentomatoes.com/m/whats_eating_gilbert_grape,"Released Dec 25, 1993",90.0,89.0
Shadowlands,https://www.rottentomatoes.com/m/shadowlands,"Released Jan 14, 1994",97.0,89.0
In the Name of the Father,https://www.rottentomatoes.com/m/in_the_name_of_the_father,"Released Dec 12, 1993",94.0,95.0
The Lion King,https://www.rottentomatoes.com/m/the_lion_king,"Released Jun 24, 1994",92.0,93.0
The Lion King,https://www.rottentomatoes.com/m/lion_king,"Released Jun 24, 1994",92.0,93.0
Pulp Fiction,https://www.rottentomatoes.com/m/pulp_fiction,"Released Oct 14, 1994",92.0,96.0
Midnight Cowboy,https://www.rottentomatoes.com/m/midnight_cowboy,"Released May 25, 1969",89.0,88.0
The Crow,https://www.rottentomatoes.com/m/the_crow,"Released May 13, 1994",86.0,90.0
The Crow,https://www.rottentomatoes.com/m/crow,"Released May 13, 1994",86.0,90.0
The Lion King,https://www.rottentomatoes.com/m/the_lion_king,"Released Jun 24, 1994",92.0,93.0
The Lion King,https://www.rottentomatoes.com/m/lion_king,"Released Jun 24, 1994",92.0,93.0
Eat Drink Man Woman,https://www.rottentomatoes.com/m/eat_drink_man_woman,"Released Aug 3, 1994",88.0,92.0
"The Adventures of Priscilla, Queen of the Desert",https://www.rottentomatoes.com/m/adventures_of_priscilla_queen_of_the_desert,"Released Aug 10, 1994",94.0,88.0
Fresh,https://www.rottentomatoes.com/m/fresh,1994,88.0,91.0
Quiz Show,https://www.rottentomatoes.com/m/quiz_show,"Released Sep 14, 1994",97.0,87.0
The Shawshank Redemption,https://www.rottentomatoes.com/m/the_shawshank_redemption,"Released Sep 1, 1994",89.0,98.0
The Shawshank Redemption,https://www.rottentomatoes.com/m/shawshank_redemption,"Released Sep 1, 1994",89.0,98.0
Ed Wood,https://www.rottentomatoes.com/m/ed_wood,"Released Sep 28, 1994",92.0,88.0
Hoop Dreams,https://www.rottentomatoes.com/m/hoop_dreams,"Released Oct 14, 1994",98.0,92.0
I Like It Like That,https://www.rottentomatoes.com/m/i_like_it_like_that,1994,89.0,91.0
Pulp Fiction,https://www.rottentomatoes.com/m/pulp_fiction,"Released Oct 14, 1994",92.0,96.0
Clerks,https://www.rottentomatoes.com/m/clerks,"Released Oct 19, 1994",90.0,89.0
Miracle on 34th Street,https://www.rottentomatoes.com/m/miracle_on_34th_street,"Released May 2, 1947",96.0,87.0
Toy Story,https://www.rottentomatoes.com/m/toy_story,"Released Nov 22, 1995",100.0,92.0
Apollo 13,https://www.rottentomatoes.com/m/apollo_13,"Released Jun 30, 1995",96.0,87.0
Before Sunrise,https://www.rottentomatoes.com/m/before_sunrise,"Released Jan 27, 1995",100.0,93.0
The Secret of Roan Inish,https://www.rottentomatoes.com/m/the_secret_of_roan_inish,"Released Jan 21, 1994",95.0,87.0
The Secret of Roan Inish,https://www.rottentomatoes.com/m/secret_of_roan_inish,"Released Jan 21, 1994",95.0,87.0
Citizen X,https://www.rottentomatoes.com/m/citizen_x,1995,86.0,86.0
The Wild Bunch,https://www.rottentomatoes.com/m/the_wild_bunch,"Released Jun 18, 1969",91.0,90.0
Crumb,https://www.rottentomatoes.com/m/crumb,"Released Apr 21, 1994",95.0,89.0
The Bridges of Madison County,https://www.rottentomatoes.com/m/bridges_of_madison_county,"Released Jun 2, 1995",90.0,87.0
Belle de Jour,https://www.rottentomatoes.com/m/belle_de_jour,"Released Apr 10, 1967",95.0,85.0
Apollo 13,https://www.rottentomatoes.com/m/apollo_13,"Released Jun 30, 1995",96.0,87.0
Living in Oblivion,https://www.rottentomatoes.com/m/living_in_oblivion,"Released Mar 17, 1995",86.0,87.0
The Usual Suspects,https://www.rottentomatoes.com/m/usual_suspects,"Released Aug 16, 1995",87.0,96.0
Leaving Las Vegas,https://www.rottentomatoes.com/m/leaving_las_vegas,"Released Oct 27, 1995",91.0,85.0
Toy Story,https://www.rottentomatoes.com/m/toy_story,"Released Nov 22, 1995",100.0,92.0
12 Monkeys,https://www.rottentomatoes.com/m/12_monkeys,"Released Jan 26, 1995",88.0,88.0
Fargo,https://www.rottentomatoes.com/m/fargo,"Released Mar 15, 1996",95.0,92.0
The Celluloid Closet,https://www.rottentomatoes.com/m/celluloid_closet,"Released Jan 30, 1996",97.0,89.0
Welcome to the Dollhouse,https://www.rottentomatoes.com/m/welcome_to_the_dollhouse,"Released Jan 15, 1995",93.0,86.0
Trainspotting,https://www.rottentomatoes.com/m/trainspotting,"Released Jul 19, 1996",90.0,93.0
Willy Wonka and the Chocolate Factory,https://www.rottentomatoes.com/m/willy_wonka_and_the_chocolate_factory,"Released Jan 1, 1971",92.0,87.0
Giant,https://www.rottentomatoes.com/m/giant,"Released Nov 24, 1956",88.0,87.0
Secrets & Lies,https://www.rottentomatoes.com/m/secrets_and_lies,"Released Oct 25, 1996",96.0,91.0
Vertigo,https://www.rottentomatoes.com/m/vertigo,"Released May 9, 1958",92.0,93.0
Swingers,https://www.rottentomatoes.com/m/swingers,"Released Oct 18, 1996",88.0,89.0
When We Were Kings,https://www.rottentomatoes.com/m/when_we_were_kings,"Released Feb 14, 1997",98.0,94.0
Hype!,https://www.rottentomatoes.com/m/hype,"Released Nov 8, 1996",93.0,87.0
Shine,https://www.rottentomatoes.com/m/shine,"Released Jan 21, 1996",91.0,90.0
Star Trek: First Contact,https://www.rottentomatoes.com/m/star_trek_first_contact,"Released Nov 22, 1996",93.0,89.0
Sling Blade,https://www.rottentomatoes.com/m/sling_blade,"Released Aug 30, 1996",97.0,92.0
Hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100.0,91.0
As Good as It Gets,https://www.rottentomatoes.com/m/as_good_as_it_gets,"Released Dec 19, 1997",86.0,86.0
Good Will Hunting,https://www.rottentomatoes.com/m/good_will_hunting,"Released Jan 9, 1998",97.0,94.0
Star Wars: Episode IV - A New Hope,https://www.rottentomatoes.com/m/star_wars,"Released May 25, 1977",93.0,96.0
Waiting for Guffman,https://www.rottentomatoes.com/m/waiting_for_guffman,"Released Jan 31, 1996",91.0,91.0
Star Wars: Episode V - The Empire Strikes Back,https://www.rottentomatoes.com/m/the_empire_strikes_back,"Released May 21, 1980",95.0,97.0
Star Wars: Episode V - The Empire Strikes Back,https://www.rottentomatoes.com/m/empire_strikes_back,"Released May 21, 1980",95.0,97.0
Donnie Brasco,https://www.rottentomatoes.com/m/donnie_brasco,"Released Feb 28, 1997",88.0,89.0
Ponette,https://www.rottentomatoes.com/m/ponette,1996,92.0,91.0
4 Little Girls,https://www.rottentomatoes.com/m/4_little_girls,"Released Jul 9, 1997",100.0,89.0
L.A. Confidential,https://www.rottentomatoes.com/m/la_confidential,"Released Sep 19, 1997",99.0,94.0
Boogie Nights,https://www.rottentomatoes.com/m/boogie_nights,"Released Oct 10, 1997",94.0,89.0
The Sweet Hereafter,https://www.rottentomatoes.com/m/sweet_hereafter,"Released Oct 4, 1997",98.0,86.0
Good Will Hunting,https://www.rottentomatoes.com/m/good_will_hunting,"Released Jan 9, 1998",97.0,94.0
As Good as It Gets,https://www.rottentomatoes.com/m/as_good_as_it_gets,"Released Dec 19, 1997",86.0,86.0
Jackie Brown,https://www.rottentomatoes.com/m/jackie_brown,"Released Dec 25, 1997",88.0,85.0
Saving Private Ryan,https://www.rottentomatoes.com/m/saving_private_ryan,"Released Jul 24, 1998",94.0,95.0
The Proposition,https://www.rottentomatoes.com/m/proposition,2005,85.0,85.0
The Truman Show,https://www.rottentomatoes.com/m/truman_show,"Released Jun 5, 1998",94.0,89.0
Mulan,https://www.rottentomatoes.com/m/mulan,"Released Jun 19, 1998",86.0,85.0
Pi,https://www.rottentomatoes.com/m/pi,"Released Jul 10, 1998",88.0,85.0
Saving Private Ryan,https://www.rottentomatoes.com/m/saving_private_ryan,"Released Jul 24, 1998",94.0,95.0
Marvel's the Avengers,https://www.rottentomatoes.com/m/avengers,"Released May 4, 2012",91.0,91.0
Rushmore,https://www.rottentomatoes.com/m/rushmore,"Released Feb 5, 1999",90.0,91.0
Psycho,https://www.rottentomatoes.com/m/psycho,"Released Jun 16, 1960",97.0,95.0
The Sixth Sense,https://www.rottentomatoes.com/m/sixth_sense,"Released Aug 6, 1999",86.0,90.0
Toy Story 2,https://www.rottentomatoes.com/m/toy_story_2,"Released Nov 24, 1999",100.0,87.0
October Sky,https://www.rottentomatoes.com/m/october_sky,"Released Feb 19, 1999",91.0,88.0
All About My Mother,https://www.rottentomatoes.com/m/all_about_my_mother,"Released Nov 24, 1999",98.0,93.0
Inherit the Wind,https://www.rottentomatoes.com/m/inherit_the_wind,"Released Nov 1, 1960",93.0,91.0
Run Lola Run,https://www.rottentomatoes.com/m/run_lola_run,"Released Jun 18, 1999",93.0,90.0
The Iron Giant,https://www.rottentomatoes.com/m/the_iron_giant,"Released Aug 4, 1999",96.0,90.0
The Iron Giant,https://www.rottentomatoes.com/m/iron_giant,"Released Aug 4, 1999",96.0,90.0
The Sixth Sense,https://www.rottentomatoes.com/m/sixth_sense,"Released Aug 6, 1999",86.0,90.0
American Beauty,https://www.rottentomatoes.com/m/american_beauty,"Released Oct 1, 1999",87.0,93.0
The Straight Story,https://www.rottentomatoes.com/m/straight_story,"Released May 21, 1999",95.0,91.0
Boys Don't Cry,https://www.rottentomatoes.com/m/boys_dont_cry,"Released Sep 2, 1999",90.0,87.0
Being John Malkovich,https://www.rottentomatoes.com/m/being_john_malkovich,"Released Oct 29, 1999",94.0,87.0
Princess Mononoke,https://www.rottentomatoes.com/m/princess_mononoke,"Released Jul 12, 1997",93.0,94.0
American Movie,https://www.rottentomatoes.com/m/american_movie,"Released Nov 5, 1999",94.0,90.0
The Insider,https://www.rottentomatoes.com/m/insider,"Released Nov 5, 1999",96.0,90.0
Toy Story 2,https://www.rottentomatoes.com/m/toy_story_2,"Released Nov 24, 1999",100.0,87.0
Love & Basketball,https://www.rottentomatoes.com/m/love_and_basketball,"Released Apr 21, 2000",85.0,95.0
Hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100.0,91.0
The Girl on the Bridge,https://www.rottentomatoes.com/m/girl_on_the_bridge,"Released Mar 31, 1999",88.0,91.0
Into the Arms of Strangers: Stories of the Kindertransport,https://www.rottentomatoes.com/m/into_the_arms_of_strangers_stories_of_the_kindertransport,"Released Sep 15, 2000",92.0,88.0
Almost Famous,https://www.rottentomatoes.com/m/almost_famous,"Released Sep 15, 2000",91.0,92.0
Best in Show,https://www.rottentomatoes.com/m/best_in_show,"Released Sep 29, 2000",93.0,88.0
Billy Elliot,https://www.rottentomatoes.com/m/billy_elliot,"Released Oct 13, 2000",85.0,89.0
Batman Beyond: Return of the Joker,https://www.rottentomatoes.com/m/batman_beyond_return_of_the_joker,"Released Dec 12, 2000",100.0,86.0
You Can Count on Me,https://www.rottentomatoes.com/m/you_can_count_on_me,"Released Nov 10, 2000",95.0,88.0
Gift,https://www.rottentomatoes.com/m/gift,"Released Oct 11, 2019",100.0,89.0
The Lord of the Rings: The Fellowship of the Ring,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring,"Released Dec 13, 2001",92.0,95.0
The Lord of the Rings: The Fellowship of the Ring,https://www.rottentomatoes.com/m/lord_of_the_rings_the_fellowship_of_the_ring,"Released Dec 13, 2001",92.0,95.0
Shrek,https://www.rottentomatoes.com/m/shrek,"Released May 18, 2001",88.0,90.0
"Monsters, Inc.",https://www.rottentomatoes.com/m/monsters_inc,"Released Nov 2, 2001",96.0,90.0
The Gleaners and I,https://www.rottentomatoes.com/m/the_gleaners_and_i,"Released Jul 9, 2000",93.0,86.0
The Gleaners and I,https://www.rottentomatoes.com/m/gleaners_and_i,"Released Jul 9, 2000",93.0,86.0
Elling,https://www.rottentomatoes.com/m/elling,"Released May 29, 2002",85.0,91.0
Memento,https://www.rottentomatoes.com/m/memento,"Released Sep 5, 2000",94.0,94.0
61*,https://www.rottentomatoes.com/m/61,2001,86.0,90.0
Shrek,https://www.rottentomatoes.com/m/shrek,"Released May 18, 2001",88.0,90.0
Stanley Kubrick: A Life in Pictures,https://www.rottentomatoes.com/m/stanley_kubrick_a_life_in_pictures,2001,86.0,89.0
Sexy Beast,https://www.rottentomatoes.com/m/sexy_beast,"Released Sep 13, 2000",87.0,85.0
Hedwig and the Angry Inch,https://www.rottentomatoes.com/m/hedwig_and_the_angry_inch,"Released Jul 20, 2001",92.0,93.0
Dinner Rush,https://www.rottentomatoes.com/m/dinner_rush,"Released Sep 28, 2000",91.0,85.0
"Monsters, Inc.",https://www.rottentomatoes.com/m/monsters_inc,"Released Nov 2, 2001",96.0,90.0
No Man's Land,https://www.rottentomatoes.com/m/no_mans_land,"Released Dec 21, 2001",93.0,92.0
The Lord of the Rings: The Fellowship of the Ring,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring,"Released Dec 13, 2001",92.0,95.0
The Lord of the Rings: The Fellowship of the Ring,https://www.rottentomatoes.com/m/lord_of_the_rings_the_fellowship_of_the_ring,"Released Dec 13, 2001",92.0,95.0
The Lord of the Rings: The Two Towers,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers,"Released Dec 5, 2002",95.0,95.0
The Lord of the Rings: The Two Towers,https://www.rottentomatoes.com/m/lord_of_the_rings_the_two_towers,"Released Dec 5, 2002",95.0,95.0
24 Hour Party People,https://www.rottentomatoes.com/m/24_hour_party_people,"Released Aug 9, 2002",87.0,87.0
Spirited Away,https://www.rottentomatoes.com/m/spirited_away,"Released Sep 20, 2002",96.0,96.0
The Lord of the Rings: The Two Towers,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers,"Released Dec 5, 2002",95.0,95.0
The Lord of the Rings: The Two Towers,https://www.rottentomatoes.com/m/lord_of_the_rings_the_two_towers,"Released Dec 5, 2002",95.0,95.0
Catch Me if You Can,https://www.rottentomatoes.com/m/catch_me_if_you_can,"Released Dec 25, 2002",96.0,89.0
The Pianist,https://www.rottentomatoes.com/m/pianist,"Released Dec 27, 2002",95.0,96.0
Talk to Her,https://www.rottentomatoes.com/m/talk_to_her,"Released Nov 22, 2002",91.0,93.0
The Lord of the Rings: The Return of the King,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king,"Released Dec 3, 2003",94.0,86.0
The Lord of the Rings: The Return of the King,https://www.rottentomatoes.com/m/lord_of_the_rings_the_return_of_the_king,"Released Dec 3, 2003",94.0,86.0
Finding Nemo,https://www.rottentomatoes.com/m/finding_nemo,"Released May 30, 2003",99.0,86.0
X2,https://www.rottentomatoes.com/m/x2_xmen_united,"Released May 2, 2003",85.0,85.0
City of God,https://www.rottentomatoes.com/m/city_of_god,"Released Jan 17, 2003",91.0,97.0
X2,https://www.rottentomatoes.com/m/x2,"Released May 2, 2003",85.0,85.0
Sweet Sixteen,https://www.rottentomatoes.com/m/sweet_sixteen,"Released May 16, 2003",97.0,88.0
Finding Nemo,https://www.rottentomatoes.com/m/finding_nemo,"Released May 30, 2003",99.0,86.0
Whale Rider,https://www.rottentomatoes.com/m/whale_rider,"Released Jun 6, 2003",91.0,88.0
28 Days Later,https://www.rottentomatoes.com/m/28_days_later,"Released Jun 27, 2003",87.0,85.0
The Cuckoo,https://www.rottentomatoes.com/m/cuckoo,"Released Jun 27, 2003",87.0,89.0
The Magdalene Sisters,https://www.rottentomatoes.com/m/magdalene_sisters,"Released Aug 15, 2003",91.0,89.0
American Splendor,https://www.rottentomatoes.com/m/american_splendor,"Released Aug 15, 2003",94.0,86.0
Lost in Translation,https://www.rottentomatoes.com/m/lost_in_translation,"Released Sep 19, 2003",95.0,85.0
Mystic River,https://www.rottentomatoes.com/m/mystic_river,"Released Oct 15, 2003",89.0,89.0
Alien,https://www.rottentomatoes.com/m/alien,"Released May 25, 1979",93.0,94.0
In America,https://www.rottentomatoes.com/m/in_america,"Released Nov 26, 2003",90.0,91.0
The Station Agent,https://www.rottentomatoes.com/m/station_agent,"Released Oct 10, 2003",94.0,89.0
The Lord of the Rings: The Return of the King,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king,"Released Dec 3, 2003",94.0,86.0
The Lord of the Rings: The Return of the King,https://www.rottentomatoes.com/m/lord_of_the_rings_the_return_of_the_king,"Released Dec 3, 2003",94.0,86.0
Harry Potter and the Prisoner of Azkaban,https://www.rottentomatoes.com/m/harry_potter_and_the_prisoner_of_azkaban,"Released May 31, 2004",90.0,86.0
Eternal Sunshine of the Spotless Mind,https://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind,"Released Mar 19, 2004",92.0,94.0
Harry Potter and the Prisoner of Azkaban,https://www.rottentomatoes.com/m/harry_potter_and_the_prisoner_of_azkaban,"Released May 31, 2004",90.0,86.0
Before Sunset,https://www.rottentomatoes.com/m/before_sunset,"Released Feb 10, 2004",94.0,92.0
Garden State,https://www.rottentomatoes.com/m/garden_state,"Released Jan 16, 2004",86.0,88.0
Saving Face,https://www.rottentomatoes.com/m/saving_face,"Released May 27, 2005",88.0,88.0
Shaun of the Dead,https://www.rottentomatoes.com/m/shaun_of_the_dead,"Released Apr 9, 2004",92.0,93.0
Million Dollar Baby,https://www.rottentomatoes.com/m/million_dollar_baby,"Released Dec 15, 2004",90.0,90.0
Hotel Rwanda,https://www.rottentomatoes.com/m/hotel_rwanda,"Released Dec 22, 2004",91.0,94.0
Batman Begins,https://www.rottentomatoes.com/m/batman_begins,"Released Jun 15, 2005",85.0,94.0
Batman Begins,https://www.rottentomatoes.com/m/batman_begins,"Released Jun 15, 2005",85.0,94.0
"Kiss Kiss, Bang Bang",https://www.rottentomatoes.com/m/kiss_kiss_bang_bang,"Released Nov 11, 2005",86.0,87.0
Casino Royale,https://www.rottentomatoes.com/m/casino_royale,"Released Nov 17, 2006",94.0,90.0
Thank You for Smoking,https://www.rottentomatoes.com/m/thank_you_for_smoking,2005,86.0,87.0
Inside Man,https://www.rottentomatoes.com/m/inside_man,"Released Mar 24, 2006",86.0,85.0
Little Miss Sunshine,https://www.rottentomatoes.com/m/little_miss_sunshine,"Released Jan 20, 2006",91.0,91.0
The Last King of Scotland,https://www.rottentomatoes.com/m/the_last_king_of_scotland,"Released Jan 19, 2007",87.0,89.0
The Last King of Scotland,https://www.rottentomatoes.com/m/last_king_of_scotland,"Released Jan 19, 2007",87.0,89.0
The Departed,https://www.rottentomatoes.com/m/the_departed,"Released Oct 6, 2006",91.0,94.0
The Departed,https://www.rottentomatoes.com/m/departed,"Released Oct 6, 2006",91.0,94.0
Queen,https://www.rottentomatoes.com/m/queen,Now Playing,92.0,85.0
Shut Up and Sing,https://www.rottentomatoes.com/m/dixie_chicks_shut_up_and_sing,"Released Oct 27, 2006",89.0,86.0
Volver,https://www.rottentomatoes.com/m/volver,2006,91.0,89.0
The Return,https://www.rottentomatoes.com/m/the_return,"Released Feb 6, 2004",96.0,93.0
Casino Royale,https://www.rottentomatoes.com/m/casino_royale,"Released Nov 17, 2006",94.0,90.0
Holiday,https://www.rottentomatoes.com/m/holiday,"Released Jun 15, 1938",100.0,89.0
Letters From Iwo Jima,https://www.rottentomatoes.com/m/letters_from_iwo_jima,"Released Feb 9, 2007",91.0,86.0
Children of Men,https://www.rottentomatoes.com/m/children_of_men,"Released Dec 25, 2006",92.0,85.0
Pan's Labyrinth,https://www.rottentomatoes.com/m/pans_labyrinth,"Released Dec 29, 2006",95.0,91.0
The Bourne Ultimatum,https://www.rottentomatoes.com/m/bourne_ultimatum,"Released Aug 3, 2007",92.0,91.0
The Wind That Shakes the Barley,https://www.rottentomatoes.com/m/the_wind_that_shakes_the_barley,2006,90.0,87.0
The Wind That Shakes the Barley,https://www.rottentomatoes.com/m/wind_that_shakes_the_barley,2006,90.0,87.0
Hot Fuzz,https://www.rottentomatoes.com/m/hot_fuzz,"Released Apr 20, 2007",91.0,89.0
Once,https://www.rottentomatoes.com/m/once,"Released May 16, 2007",97.0,91.0
Ratatouille,https://www.rottentomatoes.com/m/ratatouille,"Released Jun 29, 2007",96.0,87.0
Sicko,https://www.rottentomatoes.com/m/sicko,"Released Jun 29, 2007",91.0,87.0
The Bourne Ultimatum,https://www.rottentomatoes.com/m/bourne_ultimatum,"Released Aug 3, 2007",92.0,91.0
Superbad,https://www.rottentomatoes.com/m/superbad,"Released Aug 17, 2007",88.0,87.0
3:10 to Yuma,https://www.rottentomatoes.com/m/310_to_yuma,"Released Sep 7, 2007",89.0,86.0
Kingdom,https://www.rottentomatoes.com/m/kingdom,"Released Aug 16, 2019",94.0,96.0
Gone Baby Gone,https://www.rottentomatoes.com/m/gone_baby_gone,"Released Oct 19, 2007",94.0,86.0
The Nightmare Before Christmas,https://www.rottentomatoes.com/m/nightmare_before_christmas,"Released Oct 29, 1993",95.0,92.0
No Country for Old Men,https://www.rottentomatoes.com/m/no_country_for_old_men,"Released Nov 21, 2007",93.0,86.0
The Diving Bell and the Butterfly,https://www.rottentomatoes.com/m/diving_bell_and_the_butterfly,"Released Dec 19, 2007",94.0,92.0
Juno,https://www.rottentomatoes.com/m/juno,"Released Dec 25, 2007",94.0,88.0
There Will Be Blood,https://www.rottentomatoes.com/m/there_will_be_blood,"Released Jan 25, 2008",91.0,86.0
