rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,average_rating
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),"Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict meaning death for the accused, an inner-city teen. As the dozen men try to reach a unanimous decision while sequestered in a room, one juror (Henry Fonda) casts considerable doubt on elements of the case. Personal issues soon rise to the surface, and conflict threatens to derail the delicate process that will decide one boy's fate.","Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.",NR,"Classics, Drama",Sidney Lumet,Reginald Rose,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley Sr., George Voskovec, Robert Webber, Rudy Bond, James A. Kelly, Billy Nelson, John Savoca",1957-04-13,2017-01-13,95.0,Criterion Collection,Certified-Fresh,100.0,54.0,Upright,97.0,105386.0,6,54,0,98.5
m/1000121-39_steps,The 39 Steps,"While on vacation in London, Canadian Richard Hannay (Robert Donat) becomes embroiled in an international spy ring related to the mysterious ""39 steps."" Then he meets agent Annabella Smith (Lucie Mannheim), who is soon killed in his apartment. He must elude the police, who are hunting him for murder, while he tries to stop Professor Jordan (Godfrey Tearle) from sending secrets out of the country. Hannay is assisted by Pamela (Madeleine Carroll), an unwilling accomplice who discovers the truth.","Packed with twists and turns, this essential early Alfred Hitchcock feature hints at the dazzling heights he'd reach later in his career.",NR,"Action & Adventure, Classics, Mystery & Suspense",Alfred Hitchcock,"Alma Reville, Charles Bennett, Ian Hay, Alfred Hitchcock","Robert Donat, Madeleine Carroll, Godfrey Tearle, Lucie Mannheim, Peggy Ashcroft, John Laurie, Helen Haye, Wylie Watson, Frank Cellier, Peggy Simpson, Gus McNaughton, Jerry Verno, Miles Malleson, Marianne Stone",1935-08-01,2017-01-12,80.0,Gaumont British Distributors,Certified-Fresh,96.0,51.0,Upright,86.0,23890.0,8,49,2,91.0
m/1000123-310_to_yuma,3:10 to Yuma,"Dan Evans (Van Heflin), a drought-plagued Arizona rancher, volunteers to take captured stagecoach robber and murderer Ben Wade (Glenn Ford) from Bisbee to Contention City, where the criminal will be put aboard the 3:10 train to Yuma for his trial. Accompanied only by the town drunk, Alex Potter (Henry Jones), Dan battles Wade's henchman (Richard Jaeckel), the murder victim's revenge-minded brother, and the temptation of the large bribe Wade offers in exchange for his freedom.",,NR,"Classics, Drama, Western",Delmer Daves,Halsted Welles,"Glenn Ford, Van Heflin, Felicia Farr, Leora Dana, Henry Jones, Richard Jaeckel, Robert Emhardt, Sheridan Comerate, George Mitchell, Robert Ellenstein, Ford Rainey, Barry Curtis, Jerry Hartleben, Woodrow Chambliss",1957-08-07,2012-04-16,92.0,Columbia Pictures,Fresh,96.0,28.0,Upright,79.0,9243.0,6,27,1,87.5
m/1000224-accused,The Accused,"Out drinking one night after a fight with her boyfriend, Sarah Tobias (Jodie Foster) is brutally raped by three men in a bar while people watch and cheer. District Attorney Kathryn Murphy (Kelly McGillis) takes the case, however allows the rapists to receive a mild sentence. A distraught Sarah decides to seek punishment for the men who witnessed and encouraged the rape. To get justice, Sarah must take the stand and revisit the night of her attack in this drama based on true events.",,R,"Drama, Mystery & Suspense",Jonathan Kaplan,Tom Topor,"Jodie Foster, Kelly McGillis, Bernie Coulson, Leo Rossi, Ann Hearn, Steve Antin, Tom O'Brien, Allan Lysell, Carmen Argenziano, Terry David Mulligan, Woody Brown, Peter Van Norden, Scott Paulin, Kim Kondrashoff, Stephen E. Miller, Andrew Kavadas, Tom McBeath, Rose Weaver, Linda Darlow, Veena Sood, Anthony Holland, Kevin McNulty, Jerry Wasserman, Barney O'Sullivan, Christianne Hirt, Frances Flanagan, Mike Winlaw, Deryl Hayes, Dana Still, Denalda Williams, Babs Chula, Rebecca Toolan, Stephen Dimopoulos, Freda Perry, Dave Sheridan, Gary Chalk, Garwin Sanford, Gloria Lee, Michelle Goodger, Thomas Heaton, Pamela Sue Martin, Wally Marsh",1988-10-14,2016-10-04,110.0,Paramount Pictures,Fresh,91.0,22.0,Upright,79.0,20821.0,1,20,2,85.0
m/10002519-breaking_point,The Breaking Point,A charter-boat captain winds up in the middle of a syndicate shootout after transporting illegal immigrants.,,NR,Drama,Michael Curtiz,Ranald MacDougall,"John Garfield, Patricia Neal, Phyllis Thaxter, Juano Hernandez, Wallace Ford, Edmon Ryan, Ralph Dumke, Guy Thomajan, William Campbell, Sherry Jackson, Donna Jo Boyce, Victor Sen Yung, Peter Brocco, John Doucette, James Griffith, Norman Field, Juan Duval, Spencer Chan, Helen Hatch, Bob McLean, Beverly Mook, John Close, Alex Gerry, Mary Carroll, Glen Turnbull, John Chapin Morgan, John Alvin, David McMahon, Paul McGuire, Len Hendry",1950-10-06,2016-08-25,97.0,Warner Home Video,Fresh,100.0,10.0,Upright,86.0,335.0,1,10,0,93.0
m/1000253-adams_rib,Adam's Rib,"A courtroom rivalry finds its way into the household when prosecuting lawyer Adam Bonner (Spencer Tracy) faces off against his wife, Amanda (Katharine Hepburn), who happens to be a defense attorney. Working on opposite sides of a lawsuit where a woman (Judy Holliday) has shot her cheating husband (Tom Ewell), Adam and Amanda are both determined to win the case, and their home becomes the setting for comical showdowns, with neither spouse willing to relent.","Matched by Garson Kanin's witty, sophisticated screenplay, George Cukor, Spencer Tracy, and Katherine Hepburn are all in top form in the classic comedy Adam's Rib.",NR,"Classics, Comedy, Romance",George Cukor,"Garson Kanin, Ruth Gordon","Spencer Tracy, Katharine Hepburn, Judy Holliday, Tom Ewell, David Wayne, Jean Hagen, Hope Emerson, Eve March, Clarence Kolb, Emerson Treacy, Polly Moran, Will Wright, Elizabeth Flournoy, Janna Da Loos, Marvin Kaplan, John Maxwell Sholes, David Clarke, Gracille LaVinder, William Self, Paula Raymond, Tommy Noonan, John Maxwell, Ray Walker, Bill Self, Sidney Dubin, Madge Blake, Marjorie Wood, Lester Luther, De Forrest Lawrence, John Fell, David Roger Harris, Anna Q. Nilsson, Rex Evans, Louis Mason, Charles Bastin, James Nolan, E. Bradley Coleman, Glen B. Gallagher, Joseph E. Bernard, Gil Patric, Harry Cody, George Magrill, Bert Davidson",1949-11-18,2008-05-01,101.0,MGM Home Entertainment,Fresh,96.0,28.0,Upright,86.0,10563.0,6,27,1,91.0
m/10002673-prowler,The Prowler (Cost of Living ),"After being frightened by a peeping Tom at her mansion in the suburbs, the beautiful Susan Gilvray (Evelyn Keyes) calls the police for help. When a policeman, Webb Garwood (Van Heflin), arrives, he becomes infatuated with Susan, and the two engage in an affair. Susan soon ends their relationship, choosing to remain with her husband, John (Sherry Hall). However, Webb's obsession with her continues to grow, until he begins plotting to kill John and cash in on his life insurance policy.",,PG,"Drama, Mystery & Suspense",Joseph Losey,"Robert Thoeren, Hugo Butler, Dalton Trumbo","Van Heflin, Evelyn Keyes, Katherine Warren, John Maxwell, Emerson Treacy, Madge Blake, Wheaton Chambers, Robert Osterloh, Sherry Hall, Louise Lorimer, George Nader, Benny Burt, Louise M. Bates, Steve Carruthers, Betty Jane Howarth, Fred Hoose, Alan Harris, Tiny Jones",1951-12-03,2016-12-05,92.0,VCI Entertainment,Fresh,100.0,18.0,Upright,86.0,286.0,6,18,0,93.0
m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,"When King Richard the Lionheart is captured, his scheming brother Prince John (Claude Rains) plots to reach the throne, to the outrage of Sir Robin of Locksley (Errol Flynn), the bandit king of Sherwood Forest. Rounding up his band of men and eventually winning the support of the lovely Maid Marian (Olivia de Havilland), Robin accuses Prince John of treachery and, when the escaped Richard returns covertly to England, joins forces with the king to prevent Prince John from taking the crown.","Errol Flynn thrills as the legendary title character, and the film embodies the type of imaginative family adventure tailor-made for the silver screen.",PG,"Action & Adventure, Classics, Romance","Michael Curtiz, William Keighley","Norman Reilly Raine, Seton I. Miller, Michael Curtiz, William Keighley","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Eugene Pallette, Alan Hale, Una O'Connor, Patric Knowles, Melville Cooper, Herbert Mundin, Montagu Love, Ian Hunter, Robert Warwick, Leonard Willey, Harry Cording, Howard Hill, Robert Noble, Kenneth Hunter, Colin Kenny, Lester Matthews, Ivan Simpson, James Baker, Charles McNaughton, Wilfred Lucas, Lionel Belmore, Janet Shaw, Reginald Sheffield, Crauford Kent, Austin Fairman, Hal Brazeale, Holmes Herbert, Leonard Mudie, Herbert Evans, Alec Harford, Peter Hobbes, Leyland Hodgson, Olaf Hytten, Marten Lamont, Val Stanton, John Sutton",1938-05-14,2014-01-23,102.0,Warner Bros.,Certified-Fresh,100.0,48.0,Upright,89.0,33946.0,8,48,0,94.5
m/10004050-bandwagon,Bandwagon,"When Tony (Lee Holmes) loses his job, he decides to focus on singing and writing songs. He then starts a band with his friends: Wynn (Kevin Corrigan) plays guitar, Eric (Steve Parlavecchio) is on bass and Charlie (Matthew Hennessey) mans the drums. Though an encounter with a loan shark almost ends the group's career before it starts, they soon team up with manager Chester (Doug MacMillan) and hit the road, where they learn that the rock 'n' roll lifestyle isn't everything it's cracked up to be.",,R,Comedy,John Schultz,John Schultz,"Matthew Hennessey, Kevin Corrigan, Steve Parlavecchio, Lee Holmes, Doug MacMillan, Lisa Keller, Steve Robinson, Douglas McCallie, Doug McCallie, Steph Robinson, Mary Ellen Williams, Sally Nussbaumer, Beth Cameron, Rob Munk, Ed Slanker, Joe Ventura, Jac Cain, Jenny Fields, Eddie Oaks, Andrew Coffing, Slayde Barnes, John Bailey, Jeff Holler, K.D. Kennedy, Edward Marshall, Matthew Huggler, Robert Healy, Diane Eidman, David Palmer, Knox White, Rafael Clements, William McClain, Jeffrey Pillars, Tina Meinhart, John Wayne Shafer, Helen Crisp, Perry L. Brown, Mark Filliaci, Marguerite Lowell",1997-09-12,,103.0,Avalanche Entertainment,Fresh,80.0,5.0,Upright,91.0,386.0,1,4,1,85.5
m/10004890-narrow_margin,The Narrow Margin,"Tense story of a tough cop attempting to transport the widow of a gangster to the trial in which she'll testify. They undertake a rail journey from Chicago to Los Angeles with their lives constantly under threat from hit men on the train, who will stop at nothing to prevent her from testifying.",,NR,"Classics, Drama, Mystery & Suspense",Richard Fleischer,"Earl Felton, Martin Goldsmith","Charlie MacGraw, Charles McGraw, Marie Windsor, Jacqueline White, Gordon Gebert, Queenie Leonard, David Clarke, Peter Virgo, Don Beddoe, Paul Maxey, Harry Harvey, Michael Lally, Donald Dillaway, George Sawaya, Tony Merrill, Howard Mitchell, Milton Kibbee, Don Haggerty, Johnny Lee, Ivan Browning, Clarence Hargrave, Edgar Murray, Napoleon Whiting, Bobbie Johnson, Will Lee, Franklin Parker, Jasper Weldon",1952-05-04,2012-08-20,71.0,Warner Home Video,Fresh,100.0,11.0,Upright,88.0,1135.0,0,11,0,94.0
m/1000581-alfie,Alfie,"Set in postwar London, ""Alfie"" features Michael Caine as a chauffeur bent on promiscuity. After impregnating his girlfriend he takes off on vacation. He continues his life of womanizing, but he can't hide forever. A misfortune strikes and Alfie is forced to face the product of his ways.","Anchored by Michael Caine's charmingly droll performance, Alfie is an equally raucous and heart-rending portrait of romance in the Swinging '60s.",PG,"Classics, Comedy, Drama, Romance",Lewis Gilbert,Bill Naughton,"Michael Caine, Millicent Martin, Julia Foster, Shirley Ann Field, Vivien Merchant, Shelley Winters, Jane Asher, Eleanor Bron, Denholm Elliott, Alfie Bass, Graham Stark, Murray Melvin, Sydney Tafler, Julia Asher, Virginia Wetherell, Millicent Martin",1966-08-24,2013-08-01,114.0,Paramount Pictures,Fresh,96.0,27.0,Upright,76.0,14669.0,6,26,1,86.0
m/1000617-aliens,Aliens,"After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team. Upon arriving at LV-426, the marines find only one survivor, a nine year old girl named Newt (Carrie Henn). But even these battle-hardened marines with all the latest weaponry are no match for the hundreds of aliens that have invaded the colony.","While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.",R,"Action & Adventure, Horror, Science Fiction & Fantasy",James Cameron,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston, Ricco Ross, Colette Hiller, Daniel Kash, Cynthia Scott, Tip Tipping, Trevor Steedman, Paul Maxwell, Valerie Colgan, Alan Polonsky, Lance Henriksen, Alibe Parsons, Blain Fairman, Barbara Coles, Carl Toop, Louise Head, John Lees, Kiran Shah",1986-07-18,2015-11-25,137.0,20th Century Fox,Certified-Fresh,97.0,76.0,Upright,94.0,429674.0,17,74,2,95.5
m/1000626-all_about_eve,All About Eve,"Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway mega-star Margo Channing, telling a melancholy life story to Margo and her friends. Margo takes Eve under her wing, and it appears that Eve is a conniver that uses Margo.","Smart, sophisticated, and devastatingly funny, All About Eve is a Hollywood classic that only improves with age.",PG,"Classics, Drama",Joseph L. Mankiewicz,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, Gary Merrill, George Sanders, Celeste Holm, Hugh Marlowe, Thelma Ritter, Marilyn Monroe, Gregory Ratoff, Barbara Bates, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White, Eddie Fisher, William Pullen, Claude Stroud, Eugene Borden, Helen Mowery, Steven Geray, Bess Flowers, Ed Fisher, Steve Geray",1950-01-01,2015-11-25,138.0,20th Century Fox,Certified-Fresh,99.0,77.0,Upright,94.0,45248.0,22,76,1,96.5
m/1000654-all_the_kings_men,All the King's Men,"Drama about the rise and fall of a corrupt southern governor who promises his way to power. Broderick Crawford portrays Willie Stark, who, once he is elected, finds that his vanity and power lust prove to be his downfall. The film is based on the 1946 Pulitzer Prize-winning novel by Robert Penn Warren.",Broderick Crawford is spellbinding as politician Willie Stark in director Robert Rossen's adaptation of the Robert Penn Warren novel about the corrosive effects of power on the human soul.,PG,"Classics, Drama",Robert Rossen,"Robert Rossen, Robert Penn Warren","Broderick Crawford, Mercedes McCambridge, John Derek, Joanne Dru, John Ireland, Shepperd Strudwick, Ralph Dumke, Anne Seymour, Katherine Warren, Raymond Greenleaf, Walter Burke, Will Wright, Grandon Rhodes, H.C. Miller, Richard Hale, William Bruce, A.C. Tillman, Houseley Stevenson Sr., Truett Myers, Phil Tully, Helene Stanley, Judd Holdren, King Donovan, Paul Ford, Ted French, Louis Mason, Paul Maxey, John 'Skins' Miller, Pat O'Malley, Frank Wilcox",1949-11-08,2013-05-01,109.0,Sony Pictures Home Entertainment,Certified-Fresh,95.0,42.0,Upright,78.0,4866.0,9,40,2,86.5
m/10006588-street_fight,Street Fight,"Documentarian Marshall Curry chronicles the 2002 mayoral race in Newark, New Jersey. The election involves Sharpe James, who has held the seat for 16 years, and his challenger, attorney Cory Booker. Curry investigates the legality and ethics of the veteran mayor's tactics, and captures James' staff engaging in illicit behavior and threatening their competition with violence. James' vicious smear campaign is also documented. Spike Lee and Cornel West appear in the film on Booker's behalf.","Street Fight takes an immersive ground-level look at a pivotal political race that proves illuminating, entertaining, and inspiring in equal measure.",NR,"Documentary, Special Interest",Marshall Curry,Marshall Curry,"Cory Booker, Sharpe James, Pablo Fonseca, Rich McGrath, Al Sharpton, Jesse Jackson, Jim McGreevey",2005-01-01,2016-12-05,86.0,Marshall Curry Productions,Fresh,100.0,22.0,Upright,93.0,2989.0,11,22,0,96.5
m/10008507-deep_water,Deep Water,"In 1968, Donald Crowhurst, an inexperienced British sailor, puts up his home as collateral, gains financial backing and enters the Golden Globe, the first nonstop boat race around the world. Under dire financial pressure, Crowhurst decides to set sail before his boat is fully built, leaving it unprepared for the stresses of the open ocean. Crowhurst is under-prepared himself, and his decision to embark before he and his vessel are ready sets a deadly chain of events into motion.","Equal parts mystery and biography, Deep Water is both an engrossing documentary and an affecting treatise on human folly and obsession.",PG,"Documentary, Special Interest","Louise Osmond, Jerry Rothwell","Louise Osmond, Jerry Rothwell","Tilda Swinton, Donald Crowhurst, Santiago Franchessie, Ted Hynds, Jean Badin",2006-09-03,2017-04-04,93.0,IFC Films,Certified-Fresh,96.0,55.0,Upright,87.0,4961.0,22,53,2,91.5
m/10008698-king_corn,King Corn,"Two recent college graduates travel to Iowa to investigate the role that corn plays in an increasingly complicated and dysfunctional American food industry. After planting their own small crop of corn and tracing its journey through the industry, they are alarmed to discover that corn figures in almost everything Americans eat. The consequences of this are examined through interviews with various experts and industry insiders, providing a balanced look at this American agricultural issue.",King Corn takes a thought-provoking look at modern mass food production that deftly balances information and entertainment.,NR,"Documentary, Musical & Performing Arts, Special Interest","Curt Ellis, Ian Cheney, Aaron Woolf","Aaron Woolf, Ian Cheney, Jeffrey K. Miller, Curt Ellis","Ian Cheney, Curt Ellis, Stephen Macko, Chuck Pyatt, Ricardo Salvador, Dawn Cheney, Rich Johnson, Al Marth, Michael Pollan, Scott McGregor, Bob Bledsoe, Sue Jarrett, Dean Jarrett, Allen Trenkele, Loren Cordain, Audrae Erickson, Fray Mendez, Farida Khan, Sabita Moktan, Earl Butz",2007-10-12,2016-06-22,90.0,Balcony Releasing,Fresh,96.0,26.0,Upright,78.0,3201.0,12,25,1,87.0
m/10008820-visitor,The Visitor,"When professor Walter Vale (Richard Jenkins) travels to New York for a lecture, he's stunned to find illegal immigrants Tarek (Haaz Sleiman) and Zainab (Danai Gurira) living in his apartment. It comes out that it was rented to them by a swindler, and Vale feels sufficiently sorry for them that he invites them to stay. They get on well until Tarek is accused of jumping a subway turnstile and lands in a detention center. He risks being deported, and Vale does everything he can to prevent it.","The Visitor is a heartfelt, humanistic drama that deftly explores identity, immigration, and other major post-9/11 issues.",PG-13,Drama,,,"Richard Jenkins, Haaz Sleiman, Danai Gurira, Hiam Abbass, Marian Seldes, Maggie Moore, Michael Cumpsty, Bill McHenry, Richard Kind, Tzahi Moskovitz, Amir Arison, Neal Lerner, Ramón Fernández, Frank Pando, Waleed Zuaiter, Waleed Zuaitor, Deborah Rush, Ashley Springer, Laith Nakli, Jacqueline Brogman, Jacqueline Brogan, Walter T. Mudu, Walter Mudu, Yevgeniy Dekhtyar, Earl Baker Jr., Walter the Dog",2008-04-25,2017-01-13,103.0,Overture Films,Certified-Fresh,89.0,120.0,Upright,84.0,127079.0,30,107,13,86.5
m/10009029-kenny,Kenny,"Australian Kenny Smyth (Shane Jacobson) has possibly one of the most thankless and off-putting occupations imaginable: He's a plumber who specializes in delivering and maintaining portable toilets to well-populated events. Mockumentary cameras follow Smyth as he juggles his family life with his excrement-soaked travails and eventually works his way to the highlight of his career -- a visit to the International Pumper and Cleaner Expo in Nashville, Tenn., a gathering for renowned plumbing pros.",Kenny uses its seemingly lowbrow mockumentary premise as the foundation for a well-acted and surprisingly thoughtful character study.,PG-13,Comedy,Clayton Jacobson,"Clayton Jacobson, Shane Jacobson","Shane Jacobson, Eve von Bibra, Alf Scerri, Ronald Jacobson, Jesse Jacobson, Travis Golland, Hayley Preusker, Chris Davis, Saxon Fuller, Ian Dryden, Thomas Uerata, Morihiko Hasebe, Glenn Preusker",2008-03-21,2020-04-17,100.0,Xenon Pictures,Fresh,100.0,25.0,Upright,86.0,8978.0,11,25,0,93.0
m/10009132-rec,[Rec],A reporter (Manuela Velasco) and her cameraman record the horrifying outbreak of a disease that turns humans into vicious cannibals.,"Plunging viewers into the nightmarish hellscape of an apartment complex under siege, [Rec] proves that found footage can still be used as an effective delivery mechanism for sparse, economic horror.",R,"Art House & International, Horror, Special Interest","Jaume Balagueró, Paco Plaza","Jaume Balagueró, Paco Plaza, Luis Berdejo, Luis A. Berdejo","Manuela Velasco, Pablo Rosso, Martha Carbonell, Jorge-Yamam Serrano, Carlos Lasarte, Javier Botet, Claudia Font, Jorge Serrano, Vincente Gil, Ferran Terraza, Teresa Ortega, David Vert, Carlos Vicente, Akemi Goto, Manuel Bronchud, Kao Chen-Min, Maria Lanau, María Teresa Ortega, Claudia Silva, Vicente Gil, Ben Temple, Pep Sais",2007-11-23,2012-04-16,78.0,Odeon Sky Filmworks,Fresh,89.0,37.0,Upright,82.0,50437.0,5,34,4,85.5
m/10009253-the_hammer,The Hammer,"On his 40th birthday, chronic underachiever Jerry Ferro (Adam Carolla) loses his carpentry job and his girlfriend. However, all is not lost; a famous boxing coach (Tom Quinn) spies him sparring at the local gym and offers him the chance to train for a spot on the U.S. Olympic boxing team.",The Hammer perseveres as both an above-average sports comedy and a perfect starring vehicle for Carolla.,R,Comedy,Charles Herman-Wurmfeld,"Kevin Hench, Charles Hench","Adam Carolla, Heather Juergensen, Oswaldo Castillo, Harold House Moore, Tom Quinn, Constance Zimmer, Christopher Darga, John Enos III, Alex Enriquez, Terry Claybon, Jeff Lacy, Keeshan Giles, Lorenzo Eduardo, Kevin 'Kimbo Slice' Ferguson, Jonathan Hernandez, Jimmy Walker Jr., Edgar Sotelo, Carlos Artiga, Edgard O. Zuniga, Eddie Fernandez, Edgard H. Zuniga, Jim Fitzgerald, Ray Siegle, Manuel Nardi, Antonio Gómez Rufo, Rashad Minafree, Darrius Watson, Scott Adsit, Eddie J. Fernandez, Jim FtizGerald, Brian Schaefer",2007-04-26,2016-08-10,93.0,IFC Films,Certified-Fresh,80.0,40.0,Upright,90.0,4944.0,17,32,8,85.0
m/10009355-sugar,Sugar,"Like many young men in the Dominican Republic, 19-year-old Miguel ""Sugar"" Santos (Algenis Perez Soto) dreams of winning a slot on an American baseball team. Indeed, his talents as a pitcher eventually land him a slot on a single-A team in Iowa, but culture shock, racism and other curveballs threaten to turn Sugar's dream sour.","Sugar is an exceptionally-crafted film -- part sports flick, part immigrant tale -- with touching and poignant drama highlighted by splendid performances.",R,"Drama, Sports & Fitness","Anna Boden, Ryan Fleck","Ryan Fleck, Anna Boden","Algenis Perez Soto, Alina Vargas, André Holland, Ellary Porterfield, Ann Whitney, Richard Bull, Jose Rijo, Jaime Tirelli, Rayniel Rufino, Kelvin Leonardo Garcia, Kevin Leonardo Garcia, Michael Gaston, Marcos Rosa, Walki Cuevas, Santo Silvestre, Emmanuel Nanita Carvajal, Cesar Emilio Minaya C., Joendy Peña Brown, Jaime Terelli, Karl Bury, Zaida Alexandra Hernandez, Lilin Soto Gonzales, Dioni Feliciano, Teodosia Reyes, Walky Alvarez, Letilier A. Foy Jr., Victor Manuel Adon",2008-01-21,2012-04-16,118.0,Sony Classics,Certified-Fresh,92.0,137.0,Upright,80.0,12642.0,45,126,11,86.0
m/10009823-sin_nombre,Sin Nombre,"Sayra (Paulina Gaitán), a Honduran teen, hungers for a better life. Her chance for one comes when she is reunited with her long-estranged father, who intends to emigrate to Mexico and then enter the United States. Sayra's life collides with a pair of Mexican gangmembers (Edgar Flores, Kristyan Ferrer) who have boarded the same American-bound train.","Part harrowing immigration tale, part gangster story, this debut by writer/director Cary Fukunaga is sensitive, insightful and deeply authentic.",R,"Drama, Mystery & Suspense",Cary Joji Fukunaga,Cary Joji Fukunaga,"Paulina Gaitan, Edgar Flores, Kristyan Ferrer, Diana García, Jesus Lira, Emir Meza, Felipe Castro, Tenoch Huerta Mejía, Héctor Jiménez, Luis Fernando Pena, Kristian Ferrer",2009-03-20,2016-08-10,96.0,Focus Features,Certified-Fresh,88.0,120.0,Upright,89.0,21295.0,40,106,14,88.5
m/10010675-departures,Okuribito (Departures),"Soon after buying an expensive cello, Daigo Kobayashi (Masahiro Motoki) learns that his orchestra is disbanding. Daigo and his wife move back to his hometown in northern Japan, where he answers an ad for what he thinks is a travel agency but is, in actuality, a mortuary. As he learns and carries out the rituals used in preparing the dead for their final rest, Daigo finds his true calling in life.","If slow and predictable, Departures is a quiet, life affirming story.",PG-13,"Art House & International, Drama",Yojiro Takita,Kundo Koyama,"Masahiro Motoki, Ryoko Hirosue, Tsutomu Yamazaki, Kimiko Yo, Takashi Sasano, Kazuko Yoshiyuki, Tetta Sugimoto, Tatsuo Yamada, Toru Minegishi, Yukiko Tachibana",2009-05-29,2016-12-22,130.0,Regent Releasing,Certified-Fresh,80.0,108.0,Upright,92.0,51962.0,37,86,22,86.0
m/10010692-ballerina,Prima Ballerina,,"A straightforward documentary about five Russian ballerinas, Bertrand Normand's Ballerina is enlivened by a fairy-tale sensibility.",NR,"Art House & International, Special Interest",Laurent Gentot,Bertrand Normand,"Svetlana Zakharova, Ulyana Lopatkina",2009-01-16,,,First Run Features,Fresh,81.0,26.0,Upright,100.0,24.0,10,21,5,90.5
m/10011003-crude,Crude,"In this documentary, director Joe Berlinger looks into a major environmental disaster in the Amazon, which involves the oil industry in Ecuador. While the film explores the human toll of the corporate presence in the heart of the jungle, it also presents the circumstances involved in the massive legal case associated with the complicated situation. Investigating the issue from a variety of perspectives, the movie shows how big business can drastically affect the world.","Dynamic, tightly arranged, and deliberately provocative, Joe Berlinger's Crude is a sobering, enraging wake-up call.",NR,"Documentary, Special Interest",Joe Berlinger,,"Pablo Fajardo, Luis Yanza, Germán Yáñez, Adolfo Callejas, Diego Larrea, Emergildo Criollo, Steve Donziger, Steven Donziger, Altossa Soltani, Alejandro Ponce, Joseph Kohn, Maria Garofalo, Sara McMillan, Ricardo Reis Vega, Rosa Moreno, Rafael Correa, Trudie Styler, Silvia Yanez, Richard Cabrera",2009-09-09,2017-03-08,104.0,First Run Features,Certified-Fresh,95.0,66.0,Upright,85.0,1479.0,28,63,3,90.0
m/1001115-apartment,The Apartment,"Insurance worker C.C. Baxter (Jack Lemmon) lends his Upper West Side apartment to company bosses to use for extramarital affairs. When his manager Mr. Sheldrake (Fred MacMurray) begins using Baxter's apartment in exchange for promoting him, Baxter is disappointed to learn that Sheldrake's mistress is Fran Kubelik (Shirley MacLaine), the elevator girl at work whom Baxter is interested in himself. Soon Baxter must decide between the girl he loves and the advancement of his career.","Director Billy Wilder's customary cynicism is leavened here by tender humor, romance, and genuine pathos.",NR,"Classics, Comedy, Drama, Romance",Billy Wilder,"Billy Wilder, I.A.L. Diamond","Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen, Joan Shawlee, David Lewis, Edie Adams, Hope Holiday, Johnny Seven, Naomi Stevens, Francis Lax, Joyce Jameson, Willard Waterman, David White, Benny Burt, Hal Smith, Dorothy Abbott",1960-06-15,2016-03-29,125.0,United Artists,Certified-Fresh,93.0,71.0,Upright,94.0,38188.0,17,66,5,93.5
m/10012136-winters_bone,Winter's Bone,"Faced with an unresponsive mother and a criminal father, Ozark teenager Ree Dolly (Jennifer Lawrence) does what she can to manage the household and take care of her two younger siblings. Informed by the sheriff (Garret Dillahunt) that their father put their home up for bond and then disappeared, Ree sets out on a dangerous quest to find him. Her entire family's fate now in her hands, Ree challenges her outlaw kin's code of silence and risks her life to learn her father's fate.","Bleak, haunting, and yet still somehow hopeful, Winter's Bone is writer-director Debra Granik's best work yet -- and it boasts an incredible, starmaking performance from Jennifer Lawrence.",R,Drama,Debra Granik,"Debra Granik, Anne Rosellini","Jennifer Lawrence, John Hawkes, Kevin Breznahan, Dale Dickey, Garret Dillahunt, Sheryl Lee, Lauren Sweetser, Tate Taylor, William White, Ashlee Thomson, Isaiah Stone, Shelley Waggener",2010-06-11,2015-12-19,99.0,Roadside Attractions,Certified-Fresh,94.0,174.0,Upright,76.0,51756.0,44,164,10,85.0
