rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,average_rating
m/jaws,Jaws,"When a young woman is killed by a shark while skinny-dipping near the New England tourist town of Amity Island, police chief Martin Brody (Roy Scheider) wants to close the beaches, but mayor Larry Vaughn (Murray Hamilton) overrules him, fearing that the loss of tourist revenue will cripple the town. Ichthyologist Matt Hooper (Richard Dreyfuss) and grizzled ship captain Quint (Robert Shaw) offer to help Brody capture the killer beast, and the trio engage in an epic battle of man vs. nature.","Compelling, well-crafted storytelling and a judicious sense of terror ensure Steven Spielberg's Jaws has remained a benchmark in the art of delivering modern blockbuster thrills.",PG,"Action & Adventure, Drama, Mystery & Suspense",Steven Spielberg,"Howard Sackler, Carl Gottlieb, Peter Benchley","Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Chris Rebello, Jay Mello, Ted Grossman, Lee Fierro, Jeffrey Voorhees, Craig Kingsbury, Robert W. Chambers, Edward Chalmers Jr., Dr. Robert Nevin, Cyprian R. Dube, Robert Martin Carroll, Donald Poole, Alfred Wilde, Peter Benchley, Allison Caine",1975-06-01,2015-07-22,124.0,Universal Pictures,Certified-Fresh,98.0,88.0,Upright,90.0,944601.0,21,86,2,94.0
m/jazz-on-a-summers-day-1960,Jazz on a Summer's Day,"This documentary concert film captures the sounds and performances of some of the major jazz artists at the 1958 Newport Jazz Festival. Unlike earlier jazz movies that had been filmed in smoky black and white, this is shot in vibrant color. While musicians such as Louis Armstrong, Thelonious Monk, Anita O'Day and Mahalia Jackson perform, images of beaches, sailboats on water, dancing couples and the faces of joyful audience members are intercut into the proceedings.",,NR,"Documentary, Musical & Performing Arts","Aram Avakian, Bert Stern",,"Jimmy Giuffre, Thelonious Monk, Henry Grimes, Sonny Stitt, Sal Salvador, Louis Armstrong",2020-08-12,2020-08-12,85.0,Kino Lorber,Fresh,100.0,29.0,Upright,81.0,750.0,7,29,0,90.5
m/jean_michel_basquiat_the_radiant_child_2010,Jean-Michel Basquiat: The Radiant Child,"A thoughtful portrait of a renowned artist, this documentary shines the spotlight on New York City painter Jean-Michel Basquiat. Featuring extensive interviews conducted by Basquiat's friend, filmmaker Tamra Davis, the production reveals how he dealt with being a black artist in a predominantly white field. The film also explores Basquiat's rise in the art world, which led to a close relationship with Andy Warhol, and looks at how the young painter coped with acclaim, scrutiny and fame.",,NR,"Documentary, Musical & Performing Arts",Tamra Davis,Tamra Davis,"Jean Michel Basquiat, Fab 5 Freddy, Larry Gagosian, Tony Shafrazi, Kenny Scharf, Glenn O'Brien",2010-07-21,2017-02-13,93.0,Arthouse Pictures,Fresh,86.0,36.0,Upright,87.0,741.0,11,31,5,86.5
m/jeanne_dielman_23_quai_du_commerce_1080_bruxelles,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","Jeanne Dielman (Delphine Seyrig), the widowed mother of a teenage son, Sylvain (Jan Decorte), ekes out a drab, repetitive existence in her tiny Brussels apartment. Jeanne's days are divided between humdrum domestic chores -- shopping, cooking, housework -- and her job as an occasional prostitute, which keeps her financially afloat. She seems perfectly resigned to her situation until a series of slight interruptions in her routine leads to unexpected and dramatic changes.","Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles offers a lingering, unvarnished, and ultimately mesmerizing look at one woman's existence.",NR,"Art House & International, Drama, Special Interest",Chantal Akerman,Chantal Akerman,"Delphine Seyrig, Jacques Doniol-Valcroze, Jan Decorte, Chantal Akerman",1975-01-01,2017-05-09,201.0,Criterion Collection,Fresh,96.0,26.0,Upright,82.0,1250.0,6,25,1,89.0
m/jen_kirkman_im_gonna_die_alone,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),,,NR,Comedy,Lance Bangs,Jen Kirkman,Jen Kirkman,,,,Netflix,Fresh,100.0,8.0,,,,2,8,0,100.0
m/jeremiah_johnson,Jeremiah Johnson,"A Mexican-American War veteran, Jeremiah Johnson (Robert Redford), heads to the mountains to live in isolation. Woefully unequipped for the task at hand, Johnson is fortunate to come across a seasoned mountain man (Will Geer) willing to teach him the necessary survival tactics. As life continues in the mountains, Johnson finds himself a native bride (Delle Bolton) and an adopted son (Josh Albee). However, their peaceful existence is threatened when Johnson incurs the ire of the Crow Indians.","Jeremiah Johnson's deliberate pace demands an investment from the viewer, but it's rewarded with a thoughtful drama anchored by a starring performance from Robert Redford.",PG,"Action & Adventure, Western",Sydney Pollack,"John Milius, Edward Anhalt","Robert Redford, Will Geer, Stefan Gierasch, Delle Bolton, Charles Tyner, Josh Albee, Joaquín Martínez, Harry Morgan, Paul Benedict, Allyn Ann McLerie, Matt Clark, Richard Angarola, Jack Colvin, Tim McIntire",1972-05-12,2013-03-12,107.0,Warner Home Video,Fresh,95.0,20.0,Upright,89.0,12904.0,4,19,1,92.0
m/jerry_before_seinfeld,Jerry Before Seinfeld,,"Jerry Before Seinfeld finds its star revisiting his earliest material on his hometown stage, offering appropriately familiar - yet still abundant - laughs along the way.",NR,Comedy,Michael Bonfiglio,Jerry Seinfeld,Jerry Seinfeld,,,,Netflix,Fresh,95.0,19.0,Upright,75.0,267.0,10,18,1,85.0
m/jerusalem_2013,Jerusalem,Archaeologist Jodi Magness travels through the city gaining unprecedented access to holy sites and its vast underground network to unravel some of Jerusalem's greatest mysteries.,,NR,"Documentary, Special Interest",Daniel Ferguson,Daniel Ferguson,"Benedict Cumberbatch, Farah Ammouri, Jodi Magness, Nadia Tadros, Revital Zacharie",2013-09-20,2016-12-16,42.0,National Geographic Entertainment,Fresh,89.0,9.0,Upright,81.0,1303.0,5,8,1,85.0
m/jesus_shows_you_the_way_to_the_highway,Jesus Shows You the Way to the Highway,Two CIA agents are inserted into a computer via virtual reality to destroy a virus called the Soviet Union.,,NR,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy",Miguel Llansó,Miguel Llansó,"Daniel Tadesse, Agustín Mateo, Guillermo Llansó, Gerda-Annette Allikas, Lauri Lagle, Iveta Pole, Solomon Taste, Carlo Pironti, Rene Koster, Aris Rozentals",,2020-06-01,83.0,,Fresh,92.0,13.0,Upright,83.0,6.0,1,12,1,87.5
m/jim_and_andy_the_great_beyond_featuring_a_very_special_contractually_obligated_mention_of_tony_clifton,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","Using 100 hours of footage from the set of ""Man on the Moon,"" filmmaker Chris Smith documents Jim Carrey's transformation into legendary performance artist and comedian Andy Kaufman.",Jim & Andy: The Great Beyond offers a fascinating behind-the-scenes glimpse of method acting in action -- and one star's journey toward something like personal acceptance.,NR,Documentary,Chris Smith,,,2017-11-17,2017-11-17,94.0,Netflix,Certified-Fresh,94.0,48.0,Upright,88.0,947.0,16,45,3,91.0
